panel,scenario_id,K,sigma,rho,regime,metric,value,theoretical_value,mcse
A/B,S2-097,24.0,0.03,0.0,all_equal,oracle_bound_ratio,0.7749335731586062,,0.7749335731586062
A/B,S2-101,24.0,0.03,0.5,all_equal,oracle_optimism_mean,0.041589661757124,0.0756339665403468,0.0002387844398378
A/B,S2-101,24.0,0.03,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-101,24.0,0.03,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-101,24.0,0.03,0.5,all_equal,reporting_bias_mean,-9.207640447435936e-05,,0.0002969615849279
A/B,S2-101,24.0,0.03,0.5,all_equal,winner_instability,0.9556,,0.9556
A/B,S2-101,24.0,0.03,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-101,24.0,0.03,0.5,all_equal,oracle_bound_ratio,0.5498807435272899,,0.5498807435272899
A/B,S2-105,24.0,0.03,0.9,all_equal,oracle_optimism_mean,0.018173190969567,0.0756339665403468,0.0002895282751284
A/B,S2-105,24.0,0.03,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-105,24.0,0.03,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-105,24.0,0.03,0.9,all_equal,reporting_bias_mean,-0.0002335142593921,,0.0002992465482085
A/B,S2-105,24.0,0.03,0.9,all_equal,winner_instability,0.9539,,0.9539
A/B,S2-105,24.0,0.03,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-105,24.0,0.03,0.9,all_equal,oracle_bound_ratio,0.2402781686700583,,0.2402781686700583
A/B,S2-109,72.0,0.005,0.0,all_equal,oracle_optimism_mean,0.0119445711224577,0.0146230402430822,2.2398505152593175e-05
A/B,S2-109,72.0,0.005,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-109,72.0,0.005,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-109,72.0,0.005,0.0,all_equal,reporting_bias_mean,2.5600966681803367e-05,,4.990134611167545e-05
A/B,S2-109,72.0,0.005,0.0,all_equal,winner_instability,0.984,,0.984
A/B,S2-109,72.0,0.005,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-109,72.0,0.005,0.0,all_equal,oracle_bound_ratio,0.8168322677022223,,0.8168322677022223
